CodigoRuta;DANE IED;IED;Tipo;Destino;Direccion
J-4047-02-V2;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;EL TALLER (EL ENSUEÑO);CR 70C TV 70D BIS A
J-4047-03-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;EL TALLER (EL ENSUEÑO);CR 70C TV 70D BIS A
J-4047-03-V2;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO ARBORIZADORA ALTA;DG 73 S 40 80
U-976;111000000000;COLEGIO MARIA CANO (IED);URBANO;NA;NA
U-977;111000000000;COLEGIO MARIA CANO (IED);URBANO;NA;NA
J-4047-04-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;EL TALLER (EL ENSUEÑO);CR 70C TV 70D BIS A
J-4047-05-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO ARBORIZADORA ALTA;DG 73 S 40 80
J-4047-05-V2;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO ARBORIZADORA ALTA;DG 73 S 40 80
J-4047-06-V1;111000000000;COLEGIO RODRIGO LARA BONILLA (IED);COMPLEMENTARIA;POLIDEPORTIVO ARBORIZADORA ALTA;DG 73 S 40 80
U-998;111000000000;COLEGIO MARIA CANO (IED);URBANO;NA;NA
U-999;111000000000;COLEGIO MARIA CANO (IED);URBANO;NA;NA
R-010;212000000000;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-093;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-015;212000000000;COLEGIO EL DESTINO (IED);RURAL;NA;NA
R-094;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-095;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-054;212000000000;COLEGIO RURAL LA ARGENTINA (CED);RURAL;NA;NA
R-055;212000000000;COLEGIO RURAL EL HATO (CED);RURAL;NA;NA
R-097;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-098;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-379;212000000000;COLEGIO RURAL LAS MERCEDES (CED);RURAL;NA;NA
R-099;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
R-100;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
S-009;211000000000;COLEGIO CAMPESTRE JAIME GARZON (IED);SUMAPAZ;NA;NA
R-102;212000000000;COLEGIO RURAL PASQUILLA (IED);RURAL;NA;NA
U-1122;111000000000;COLEGIO MARSELLA (IED);URBANO;NA;NA
U-1418;111000000000;COLEGIO MARSELLA (IED);URBANO;NA;NA
U-328;111000000000;COLEGIO SAN JOSE DE CASTILLA (IED);URBANO;NA;NA
U-788;111000000000;COLEGIO GUSTAVO RESTREPO (IED);URBANO;NA;NA
J-4003-01-V1;111000000000;COLEGIO FRANCISCO PRIMERO S.S. (IED);COMPLEMENTARIA;BIBLIOTECA LUIS ANGEL ARANGO;CL 11 4 14
J-4004-03-V4;111000000000;COLEGIO JUAN FRANCISCO BERBEO (IED);COMPLEMENTARIA;PARQUE RECREO DEPORTIVO EL SALITRE;AV LA ESMERALDA 63 69
J-4004-04-V1;111000000000;COLEGIO JUAN FRANCISCO BERBEO (IED);COMPLEMENTARIA;PARQUE RECREO DEPORTIVO EL SALITRE;AV LA ESMERALDA 63 69
J-4004-04-V2;111000000000;COLEGIO JUAN FRANCISCO BERBEO (IED);COMPLEMENTARIA;PARQUE RECREO DEPORTIVO EL SALITRE;AV LA ESMERALDA 63 69
J-4004-04-V3;111000000000;COLEGIO JUAN FRANCISCO BERBEO (IED);COMPLEMENTARIA;PARQUE RECREO DEPORTIVO EL SALITRE;AV LA ESMERALDA 63 69
J-4030-01-V1;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-01-V2;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-01-V3;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-02-V1;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-02-V2;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-02-V3;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-03-V1;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-03-V2;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
J-4030-03-V3;111000000000;COLEGIO CAMPESTRE MONTE VERDE (IED);COMPLEMENTARIA;COMPENSAR AV 68;KR 69 49A 73
